
Regresion lineal:	y = 111.354 + 2.06037x1 + -2.73193x2 + 0.000559937x3

Resultados del ajuste lineal:

x1	x2	x3	y
124	81.69	64.5	143.704
150	103.84	73.3	136.766
128	96.54	68.8	111.379
134	95.15	65	127.536
110	92.88	69	84.291
131	99.13	64.5	110.482
98	85.43	66	79.9178
84	90.49	66.3	37.2493
147	95.55	68.8	153.23
124	83.39	64.5	139.06
128	107.95	70	80.208
124	92.41	69	114.42
147	85.65	70.5	180.277
90	87.89	66	56.7143
96	86.54	68	72.7657
120	85.22	68.5	125.821
102	94.51	73.5	63.3576
84	80.8	66.3	63.7217
86	88.91	70	45.6885
84	90.59	76.5	36.9818
134	79.06	62	171.491
128	95.5	68	114.219
102	83.18	63	94.3044
131	93.55	72	125.73
84	79.86	68	66.2906
110	106.25	77	47.7696
72	79.35	63	42.9567
124	86.67	66.5	130.1
132	85.78	62.5	149.012
137	94.96	67	134.237
110	99.79	75.5	65.417
86	88	69	48.174
81	83.43	66.5	50.3557
128	94.81	66.5	116.104
124	94.94	70.5	107.509
94	89.4	64.5	60.8297
74	93	74	9.79277
89	93.59	75.5	39.0873
